batch_size,mean_accuracy,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/loss,keras_info/dice_coef,keras_info/binary_accuracy,keras_info/val_loss,keras_info/val_dice_coef,keras_info/val_binary_accuracy
0,,-1.9643014669418335,3.6704037189483643,False,,,1,1.9643014669418335,8cc026c8884b46aa92029da8611edb7b,2021-04-01_13-33-26,1617309206,3.6704037189483643,1776441,tanaka-isi-edu,128.9.128.142,3.6704037189483643,0,1,7864f_00001,-1.9643014669418335,1.964195728302002,0.0003269740554969758,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
1,,-1.96517014503479,2.132876396179199,False,,,2,1.96517014503479,8cc026c8884b46aa92029da8611edb7b,2021-04-01_13-33-28,1617309208,5.8032801151275635,1776441,tanaka-isi-edu,128.9.128.142,5.8032801151275635,0,2,7864f_00001,-1.96517014503479,1.965341567993164,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
2,,-1.9655131101608276,2.1567752361297607,False,,,3,1.9655131101608276,8cc026c8884b46aa92029da8611edb7b,2021-04-01_13-33-30,1617309210,7.960055351257324,1776441,tanaka-isi-edu,128.9.128.142,7.960055351257324,0,3,7864f_00001,-1.9655131101608276,1.9652557373046875,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
3,,-1.9640390872955322,2.1374683380126953,False,,,4,1.9640390872955322,8cc026c8884b46aa92029da8611edb7b,2021-04-01_13-33-33,1617309213,10.09752368927002,1776441,tanaka-isi-edu,128.9.128.142,10.09752368927002,0,4,7864f_00001,-1.9640390872955322,1.9644848108291626,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
4,,-1.964066743850708,2.148489475250244,False,,,5,1.964066743850708,8cc026c8884b46aa92029da8611edb7b,2021-04-01_13-33-35,1617309215,12.246013164520264,1776441,tanaka-isi-edu,128.9.128.142,12.246013164520264,0,5,7864f_00001,-1.964066743850708,1.9642369747161865,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
