batch_size,mean_accuracy,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/loss,keras_info/dice_coef,keras_info/binary_accuracy,keras_info/val_loss,keras_info/val_dice_coef,keras_info/val_binary_accuracy
0,,-1.9641335010528564,3.5208346843719482,False,,,1,1.9641335010528564,d3f1f082d5364176b2c9502e500b6efd,2021-04-01_13-33-52,1617309232,3.5208346843719482,1776440,tanaka-isi-edu,128.9.128.142,3.5208346843719482,0,1,7864f_00003,-1.9641335010528564,1.9641335010528564,0.02124677412211895,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
1,,-1.9657800197601318,2.0087010860443115,False,,,2,1.9657800197601318,d3f1f082d5364176b2c9502e500b6efd,2021-04-01_13-33-54,1617309234,5.52953577041626,1776440,tanaka-isi-edu,128.9.128.142,5.52953577041626,0,2,7864f_00003,-1.9657800197601318,1.9657800197601318,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
2,,-1.9657800197601318,2.0177340507507324,False,,,3,1.9657800197601318,d3f1f082d5364176b2c9502e500b6efd,2021-04-01_13-33-56,1617309236,7.547269821166992,1776440,tanaka-isi-edu,128.9.128.142,7.547269821166992,0,3,7864f_00003,-1.9657800197601318,1.9657800197601318,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
3,,-1.9657799005508423,1.9919090270996094,False,,,4,1.9657799005508423,d3f1f082d5364176b2c9502e500b6efd,2021-04-01_13-33-58,1617309238,9.539178848266602,1776440,tanaka-isi-edu,128.9.128.142,9.539178848266602,0,4,7864f_00003,-1.9657799005508423,1.9657799005508423,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
4,,-1.9657800197601318,2.014254331588745,False,,,5,1.9657800197601318,d3f1f082d5364176b2c9502e500b6efd,2021-04-01_13-34-00,1617309240,11.553433179855347,1776440,tanaka-isi-edu,128.9.128.142,11.553433179855347,0,5,7864f_00003,-1.9657800197601318,1.9657800197601318,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
