batch_size,mean_accuracy,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/loss,keras_info/dice_coef,keras_info/binary_accuracy,keras_info/val_loss,keras_info/val_dice_coef,keras_info/val_binary_accuracy
0,,-1.402572512626648,3.6627085208892822,False,,,1,1.402572512626648,07c4abf7ff114b839a6ba4da3abaff0e,2021-04-01_13-08-37,1617307717,3.6627085208892822,1773849,tanaka-isi-edu,128.9.128.142,3.6627085208892822,0,1,00faa_00001,-1.402572512626648,1.4714994430541992,0.2095206081867218,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
1,,-1.9637298583984375,2.138140916824341,False,,,2,1.9637298583984375,07c4abf7ff114b839a6ba4da3abaff0e,2021-04-01_13-08-39,1617307719,5.800849437713623,1773849,tanaka-isi-edu,128.9.128.142,5.800849437713623,0,2,00faa_00001,-1.9637298583984375,1.965516448020935,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
2,,-1.9654403924942017,2.1401214599609375,False,,,3,1.9654403924942017,07c4abf7ff114b839a6ba4da3abaff0e,2021-04-01_13-08-41,1617307721,7.9409708976745605,1773849,tanaka-isi-edu,128.9.128.142,7.9409708976745605,0,3,00faa_00001,-1.9654403924942017,1.9655780792236328,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
3,,-1.9637298583984375,2.137589693069458,False,,,4,1.9637298583984375,07c4abf7ff114b839a6ba4da3abaff0e,2021-04-01_13-08-44,1617307724,10.078560590744019,1773849,tanaka-isi-edu,128.9.128.142,10.078560590744019,0,4,00faa_00001,-1.9637298583984375,1.965516448020935,1.743861685099546e-05,-1.9661791324615479,1.9661791324615479,3.0517578125e-05
