batch_size,mean_accuracy,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/loss,keras_info/dice_coef,keras_info/binary_accuracy,keras_info/val_loss,keras_info/val_dice_coef,keras_info/val_binary_accuracy
0,,-1.9662779569625854,3.5228185653686523,False,,,1,1.9662779569625854,cf5202cac9f943d585cab82b09a18230,2021-04-01_13-08-24,1617307704,3.5228185653686523,1773861,tanaka-isi-edu,128.9.128.142,3.5228185653686523,0,1,00faa_00000,-1.9662779569625854,1.9662779569625854,0.0012250627623870969,-0.9426266551017761,0.9426266551017761,0.40549468994140625
1,,-0.9404019713401794,2.028447389602661,False,,,2,0.9404019713401794,cf5202cac9f943d585cab82b09a18230,2021-04-01_13-08-26,1617307706,5.5512659549713135,1773861,tanaka-isi-edu,128.9.128.142,5.5512659549713135,0,2,00faa_00000,-0.9404019713401794,0.9404019713401794,0.4054107666015625,-1.9667385816574097,1.9667385816574097,0.00724029541015625
2,,-1.9661214351654053,2.041207790374756,False,,,3,1.9661214351654053,cf5202cac9f943d585cab82b09a18230,2021-04-01_13-08-28,1617307708,7.592473745346069,1773861,tanaka-isi-edu,128.9.128.142,7.592473745346069,0,3,00faa_00000,-1.9661214351654053,1.9661214351654053,0.0034048897214233875,-1.9669218063354492,1.9669218063354492,0.00557708740234375
3,,-1.9662481546401978,2.0143237113952637,False,,,4,1.9662481546401978,cf5202cac9f943d585cab82b09a18230,2021-04-01_13-08-30,1617307710,9.606797456741333,1773861,tanaka-isi-edu,128.9.128.142,9.606797456741333,0,4,00faa_00000,-1.9662481546401978,1.9662480354309082,0.0025046211667358875,-1.966813087463379,1.966813087463379,0.00550079345703125
4,,-1.9661270380020142,2.0258610248565674,False,,,5,1.9661270380020142,cf5202cac9f943d585cab82b09a18230,2021-04-01_13-08-32,1617307712,11.6326584815979,1773861,tanaka-isi-edu,128.9.128.142,11.6326584815979,0,5,00faa_00000,-1.9661270380020142,1.9661270380020142,0.0023084369022399187,-1.9668034315109253,1.9668034315109253,0.00774383544921875
