batch_size,mean_accuracy,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/loss,keras_info/dice_coef,keras_info/binary_accuracy,keras_info/val_loss,keras_info/val_dice_coef,keras_info/val_binary_accuracy
0,,-1.9659407138824463,3.5386486053466797,False,,,1,1.9659407138824463,d208a2580559494f860caab6717b152e,2021-04-01_13-33-39,1617309219,3.5386486053466797,1776438,tanaka-isi-edu,128.9.128.142,3.5386486053466797,0,1,7864f_00002,-1.9659407138824463,1.9663703441619873,0.005168369971215725,-1.5073460340499878,1.5073460340499878,0.1092376708984375
1,,-1.6968356370925903,2.091341495513916,False,,,2,1.6968356370925903,d208a2580559494f860caab6717b152e,2021-04-01_13-33-41,1617309221,5.629990100860596,1776438,tanaka-isi-edu,128.9.128.142,5.629990100860596,0,2,7864f_00002,-1.6968356370925903,1.7308861017227173,0.0610787533223629,-1.967114806175232,1.967114806175232,0.014129638671875
2,,-1.9663565158843994,2.092674493789673,False,,,3,1.9663565158843994,d208a2580559494f860caab6717b152e,2021-04-01_13-33-44,1617309224,7.7226645946502686,1776438,tanaka-isi-edu,128.9.128.142,7.7226645946502686,0,3,7864f_00002,-1.9663565158843994,1.9662730693817139,0.009556361474096775,-1.9668534994125366,1.9668534994125366,0.00843048095703125
3,,-1.9652936458587646,2.071572780609131,False,,,4,1.9652936458587646,d208a2580559494f860caab6717b152e,2021-04-01_13-33-46,1617309226,9.7942373752594,1776438,tanaka-isi-edu,128.9.128.142,9.7942373752594,0,4,7864f_00002,-1.9652936458587646,1.964474081993103,0.0065285819582641125,-1.9668093919754028,1.9668093919754028,0.0088958740234375
4,,-1.9661401510238647,2.0592358112335205,False,,,5,1.9661401510238647,d208a2580559494f860caab6717b152e,2021-04-01_13-33-48,1617309228,11.85347318649292,1776438,tanaka-isi-edu,128.9.128.142,11.85347318649292,0,5,7864f_00002,-1.9661401510238647,1.96624755859375,0.0068075996823608875,-1.9668928384780884,1.9668928384780884,0.0130462646484375
