batch_size,mean_accuracy,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/loss,keras_info/dice_coef,keras_info/binary_accuracy,keras_info/val_loss,keras_info/val_dice_coef,keras_info/val_binary_accuracy
0,,-1.8119604587554932,3.5894386768341064,False,,,1,1.8119604587554932,597c60d0477e4a80baa3160c5a4acfe2,2021-04-01_13-33-13,1617309193,3.5894386768341064,1776442,tanaka-isi-edu,128.9.128.142,3.5894386768341064,0,1,7864f_00000,-1.8119604587554932,1.8319573402404785,0.01159013994038105,-1.9666343927383423,1.9666343927383423,0.0002288818359375
1,,-1.9657829999923706,2.0721492767333984,False,,,2,1.9657829999923706,597c60d0477e4a80baa3160c5a4acfe2,2021-04-01_13-33-15,1617309195,5.661587953567505,1776442,tanaka-isi-edu,128.9.128.142,5.661587953567505,0,2,7864f_00000,-1.9657829999923706,1.9654240608215332,3.487723370199092e-05,-1.9664939641952515,1.9664939641952515,0.0006256103515625
2,,-1.9656105041503906,2.0585665702819824,False,,,3,1.9656105041503906,597c60d0477e4a80baa3160c5a4acfe2,2021-04-01_13-33-17,1617309197,7.720154523849487,1776442,tanaka-isi-edu,128.9.128.142,7.720154523849487,0,3,7864f_00000,-1.9656105041503906,1.9651532173156738,0.00035531181492842734,-1.9667069911956787,1.9667069911956787,0.01013946533203125
3,,-1.7673770189285278,2.066471815109253,False,,,4,1.7673770189285278,597c60d0477e4a80baa3160c5a4acfe2,2021-04-01_13-33-19,1617309199,9.78662633895874,1776442,tanaka-isi-edu,128.9.128.142,9.78662633895874,0,4,7864f_00000,-1.7673770189285278,1.7342798709869385,0.053009033203125,-1.9664822816848755,1.9664822816848755,0.00218963623046875
4,,-1.9652127027511597,2.091937780380249,False,,,5,1.9652127027511597,597c60d0477e4a80baa3160c5a4acfe2,2021-04-01_13-33-21,1617309201,11.87856411933899,1776442,tanaka-isi-edu,128.9.128.142,11.87856411933899,0,5,7864f_00000,-1.9652127027511597,1.9658808708190918,0.00039236884913407266,-1.9663622379302979,1.9663622379302979,4.57763671875e-05
